id;text;polarity
tB55;In general, how expensive is locking in Java? Specifically in my case: I have a multi-threaded app in which there is one main loop that takes objects off a DelayQueue and processes them (using poll()). At some point a different thread will have to remove errant elements from the queue (using remove()). Given that the remove() is relatively uncommon, I am worried that locking on each poll() will result in slow code. Are my worries justified?;negative
tC328;I am currently developing a system on a server running PHP version 5.1.6 thus I am forced to use Symfony 1.1 in the current environment. I am planning to migrate the application from 1.1 to 1.2 in the somewhat near future and I was wondering if anyone has any experience with this? I have attempted to migrate a system from 1.0 to 1.1 and that was a major pain in the rear. How has it been for anyone out there migrating from Symfony 1.1 to 1.2?;negative
tC196;My problem with Boost (here, and elsewhere) is that you can often get on without it (in this case with C++11 or before C++11 [with a function](http://stackoverflow.com/a/138633/111307)). Boost adds a significant compile time overhead, had tons of files to park into your repository (and to have to copy around/zip/extract if you are making an archive). That's the reason I try not to use it. I know you can choose what files to include/not include, but you usually don't want to have to worry about Boost's cross dependencies with itself so you just copy the whole thing around.;neutral
tA325;I love the way you assimilated another answer!;positive
sC171;This isn't really a programming/software development question.;neutral
sB2;Regular C++, or managed C++?;neutral
pB56;"@Bober02 if u are in this industry sooner or later you will ""meet"" Martin Thompson's excellent blog, I'm glad to introduce you to it. :) http://mechanical-sympathy.blogspot.com/2011/07/memory-barriersfences.html Happy reading!";positive
sC62;Check out some tool like SnippetCompiler (http://www.sliver.com/dotnet/SnippetCompiler/) - lets you take a short snippet of C# and try it out without all the overhead of Visual Studio! Absolutely priceless...;positive
sD315;I'm afraid I don't know of any other option than work!;negative
tA469;It's pretty easy to prevent aliasing by adding a conditon *a != *b.;neutral
sA21;I have hit this too. No solution as yet. This is very worrying though!;negative
sD254;:( :( :( :( :( :(;negative
sD124;+1 excellent ! I was searching it for hours...;positive
tA402;I need the name of the current logged in user in my Air/Flex application. The application will only be deployed on Windows machines. I think I could attain this by regexing the User directory, but am open to other ways.;neutral
sA310;Have you run this on SQL Server?;neutral
tB53;Why do so many people not understand the importance of permanent URLs?? Even Adobe, selling products to build web applications, regularly fails at this!;negative
sA515;Why don't the bytes intersect??;neutral
tD316;At this time, I'm doing this : dateSelected value look this : Fri Sep 11 2009 00:00:00 GMT+0200 (Romance Daylight Time) 2 Options : a) Is it possible to use this in .NET directly (string to DateTime) ? b) I tried several way to return dd/mm/yyyy without success Regards,;neutral
sB503;This might work for what I have in mind, will certainly give it a try.;positive
tB132;Awesome, thanks!;positive
sC454;You've probably installed VS2010 SP1.;neutral
sD298;Also, you need to use `$(this)` instead of just `this`;neutral
tD193;Yes, the question mentioned it won't work. I was trying to describe why it wasn't terribly important to even try to do it that way.;negative
tA92;awesome explanation!! this is seriously awesome..;positive
tA31;Anybody found yet a good web site architecture using linq to sql? Any help will be very helpful!;positive
sB395;It seems to be working really fine for me , IE , not tested but FF / Chrome it works !;positive
sD424;Excellent - I'm glad you found it! The double quotes may be a unix/linux thing. Note that Oracle will accept `username/pw@db` or `username@db/pw`.;positive
sC128;I would go with omnithreadlibrary, it's very productive, btw. look at omnixml also, these libs are extremely helpful!;positive
tC211;IMHO multi-core processors are still so rare, and threading is such a horrible and hairy and dangerous place to go, that you're just better off sticking to one thread.;negative
sD377;Boost is also not C.;neutral
sB532;You actually linked to the same article twice there - did you mean to?;neutral
tC167;I have really enjoyed playing with my first robot. Now I want to make something a little more exciting. What's the best tutorial on making advanced robots?;positive
pB72;exactly why i'm asking because thats what i fear!;negative
sC141;This is correct. It can turn out to be quite a pain!;negative
tC279;I have added a reference to an excellent article showing to go about it.;neutral
sD116;"Why on my ""git push"" command I get the following very scaring error message? I've appended the text as it appeared on my shell, the strange symbols are shown. Is my Git installation broken? My fist git clone was using https I'm using on Ubuntu 10.10 x86_64";negative
tA23;This is how you find the arc length given the parameter, but finding equidistant points requires the inverse of this function. Getting from one to the other is not trivial. @Christian Romo: how did you do it? I mean, you can just use binary search, but that would be horribly slow (for what I'm trying to do, anyway).;negative
pB50;"the question just came to me from a different team. The question was ""how to query the users in the exchange server's particular User group"". Its said that the Exchange server user group is not linked to an Ad group. The examples i could get are all for querying based on AD group. I heard there are two ways either through SQL or through DirectoryServices. Either solution is fine, but through DirectoryServices will be super awesome! Thanks again!";positive
sD3;I'm trying to open a different ajax modal for each table row clicked. So I did this: That, however doesn't work - while this does: If anyone could please point me in the right direction I would be extremely happy :)) Thanks everyone!:);positive
pB97;I have a function name called setValue, used in many classes. Also, i have a global function by the same name. When i press C-], it goes to arbitrary setValue function. How do i directly jump to the global setValue function? It is really pain to use tnext every time to find if the function global.;negative
sD240;Prune them.;neutral
sB197;I am have used the remove data method to remove validation from the page. This works but throws an error in the console window and crashes with IE8 (I'm being forced to develop to this browser...sad I know!). Does anyone know how I can stop this error? Here is my code to remove the validator: Here is the error message from the console:;negative
sB79;What is the difference between and similarly and It is really painful when i align the controls with and when i try to align in the Design mode it adds the , how to prevent auto adding property to a control while aligning it, as I already defined the to it why it doesn't update the same property. Its really irritating when we want to do animation on controls, it reverses the direction of animation;negative
tB312;Add a bit of demonstration code and I'll upvote.;neutral
sA564;Nobody? To do this with a Button is really disgusting.;negative
tB475;Calling a virtual function is slightly slower than calling a nonvirtual function. However, I don't think it matters how deep your inheritance tree is. But this is not a difference that you should normally be worried about.;neutral
sA410;Here is a solution that works for lower case strings only. Horrible horrible code, but I was trying to see how few lines I could write a solution in.;negative
sA23;Guy's I am at my wit's end. I've got a VPS that I'm mucking around on, so nothing is important, but nginx is being a complete pain. I've deleted all of the content inside and restarted. Visting the ip of the server simply results in a page with one word on it: I just don't get it. Is this normal nginx behaviour? I've deleted the entire conf file and restarted, so why is this happening?;negative
tC36;If the files were never committed and they're no longer on the hard drive, then I'm afraid they're probably gone, unless your user has manual backups, or some other recovery/undeletion strategy works out.;neutral
tC104;I use a custom to check if text is numeric. Then when I bind a to a numeric property, I add the new custom class to the collection. In the example below the validation rule is checked everytime the changes.;neutral
tC248;C# syntax is so close to Java (and better in some ways) that you might as well learn C# instead of J#. And since C# is more widely used, you can easily find Java --> C# tutorials on google or check out and watch some videos.;neutral
tC209;Fair enough: if your JDK upgrade messes up Serializable, the clients of the your big boy JDK (i.e. Sun, BEA, IBM, etc.) should scream bloody murder (and I have). Admittedly the question wasn't clear whether it was only about JDK classes.;neutral
tA490;See also on Programmers.SE: [Why is Inversion of Control named that way?](http://programmers.stackexchange.com/questions/205681/why-is-inversion-of-control-named-that-way);neutral
sA30;Excellent article! Very useful :);positive
tD92;I've just been looking at php's autoload() function. Seems a nice idea, but I'm not sure how it handles multiple directories. My current development basically has a library directory structure grouping classes into subdirectories by operation. I'm wondering I have to declare a include() for each directory ... which I really hope I don't have to do. Can you advise - thanks;positive
sA559;After reading I was horrified! Isn't there a tool out there that can inspect a .h/.cpp file and deduce what dependencies could be waivered?;negative
pD8;Is search and replace the only way to rename as asp control in the code behind file? I find this extremely annoying, but it is the only way I can find. Scenario: I'll find a variable that needs renaming (Usually to meet naming convention) I'll rename the variable in the aspx/ascx file. I'll have to go in the code behind files and search and replace. I get annoyed Are there any better ways - preferably that would not touch a similarly named variable in another scope in the project. I'm on VS2008 with resharper -- does VS2010 address this perhaps?;negative
sB452;@KDJ It means the elements siblings whose ID's end in _dd, and no worries!;positive
tC339;I'm sure lots of people will say this by the time I've typed this but... I know it's not PHP but we're finding just the job for this kind of thing. It really is an excellent piece of software.;positive
sA286;No worries! Joe;positive
tC345;Newbie question. Iâ€™m writing an ASP.Net MVC app in VB.Net and have been using NerdDinner as a sample (which is in C#). Iâ€™m stuck on the validation process specifically the code found in Models\Dinner.cs . I have tried converting it to VB.Net using but it chokes on the Yield statement which found in the GetRuleViolations method (see code below). So my question is how would you do the equivalent in VB.Net? namespace NerdDinner.Models { };neutral
tD214;will a thread sleeping for a long time get killed cleanly when your app is told to exit (if the exit occurs before the time happens)?;neutral
sD496;Beaaaaaaautiful!;positive
tB9;Just run, run away screaming.....;negative
sB24;I don't do c# anymore but yes I remember those templated stuff was really painful.;negative
sB557;well.. taht's... sad =(;negative
sD440;It's not possible to open the page in full screen without user interaction (clicking on a button etc.) because it would be extremely annoying.;negative
tD348;Rebol (600 Ko only) is based on antigrain geometry library which is Opensource It seems really great, can OpenGL do better ?;positive
sD90;Excellent, thank you! I don't know when we are going to upgrade but that's a good reason to I guess.;positive
pC68;"@ThiagoLovizzaro no worries, you have to start somewhere ;) good luck in the future!";positive
pB52;"@PeterGrantBue: I'm happy that my solution suits your needs. :-) Please, accept my answer if it really helped you out. Good luck with your game! ;-)";positive
sB368;Hey Piper, I saw you posting a lot of `git` questions tonight (which is completely fine!) but just wanted to make sure you were aware of http://gitready.com and the Git Community Book: http://book.git-scm.com/ which might help you with some of your questions. The community book even has some screencasts in it. Again, feel free to ask questions here... just wanted to pass that along to you.;positive
tC125;1) Make sure FB engine is 1.5 and there's no Interbase server running on this seme box on the port you expected fb 1.5. 2) Make sure you don't have any UDF called 'substring' registered inside this DB so that FB is especting different params.;neutral
tC131;Thanks for the answers guys, all where to me really useful! :);positive
sD529;I use neo4j tool to start Neo4j in windows, But a strange thing is, today, when I open the neo4j shell, I start it , but no response, the status is in yellow and never turn to green, it can't establish neo4j server. It is so terrible for my database!!!! Does anyone meet this ?;negative
sB547;I'm using FOSOAuthBundle with FOSUserBundle for an API which is used by mobile apps etc. I'm trying to access some user profile information using the access token to find the users details, however the user_id isn't being set. Further info, I was following the tutorial in your documentation. Here's my security: Here's my config settings for UserBundle and oAuthBundle: I was following this guide: Any help or point in the right direction, would be hugely appreciated!;positive
sA253;I would've answered StackOverflow, but it's not open-source :);neutral
tD65;My company has no current plans to move to vista, so we haven't tested compatability issues yet. Doug Hennig has an excellent article on the subject however: These links describe some issues as well:;positive
sC435;I'm using . Why does not work?;neutral
sB354;@Chris, excellent, I'm thrilled to hear that you're migrating to salted hashes! :);positive
sA259;+1 for makeself. I totally loved that. :);positive
sD449;I was wondering - when making my website - how i can put a bottom margin that lifts an a-tag up. CSS: And here's also my html: I really hope you can help me out :) greetings form the Netherlands!;positive
tC12;If you're doing a git merge of a bunch of files and this is all you have to worry about, you have nothing to worry about.;neutral
tD240;I agree most important is not what style one uses but it being consistent. With that said, the new MS/.NET styling for private fields tends to be _fooVar (underscore followed by a camelCased name);neutral
sC61;Google showed me: However, it removes the blinking carets from ALL of your applications [which includes eclipse], so you probably won't want that ._. Unless.. you totally abhor blinking carets;negative
tA480;There's lots of things that I don't know about languages and syntax. +1 because I learned that you can make a setter private inside a public property. Awesomeness ensues!;positive
sC140;The and functions both return Gateway information for each adapter.;neutral
sD127;I kept a bitmap inside a movieClip, bitmap has been set to be smoothing. but when I changed the scale of this movieclip, it still got pixelated. Do we have the way to avoid. it is really painful.;negative
tA197;If DevStudio is crashing a lot on you, you might try uninstalling any add-ins and extensions as a first step. It might save you a lot of pain.;neutral
tD465;We're looking for a package to help identify and automatically rotate faxed TIFF images based on a watermark or logo. We use libtiff for rotation currently, but don't know of any other libraries or packages I can use for detecting this logo and determining how to rotate the images. I have done some basic work with OpenCV but I'm not sure that it is the right tool for this job. I would prefer to use C/C++ but Java, Perl, or PHP would be acceptable too.;neutral
tA91;I would suggest FlexUnit for automated testing of libraries you're building but it is a serious pain to use for a full application.;negative
sA411;I have 2 files I need to merge based on 2 columns. I have tried using awk as well as tried combining the 2 columns using _ and then using the join command. When using join, some records were not matched, even after sorting, and multiple records were created. Using awk I can match the files correctly, but cannot get the output to print with zeroes when no match exists. File 1: File 2: Desired output: Any help would be hugely appreciated, I am new to large data files and unix!;positive
tC324;There's an RFC for how to read RFCs. Love it!;positive
sC38;First off, 16*16*3*3 = 2304 - quite modest really. At this size I'd be more worried about the confusion likely to be caused by a 4D array than the size it is taking! As others have said, if it fully populated, arrays are ok. If it has gaps, an ArrayList or similar would be better. If the Strings are just IDs, why not store an enum (or even Integers) instead of a string?;neutral
tC455;I'm using a WPF validation for TextBox validation. I have defined this Template: The TextBox is located on a form in a TabItem. Everything works fine, but the '!' TextBlock stays visible when I choose other TabItems. This behaviour is observed in many other cases - when expander expands etc.. the Excklamation always stays visible on the same place, although the TextBox is not diplayed.;neutral
sC295;Firefox: IE 9: How to fix it ?;neutral
sD276;This isn't really pythonic so much as tortured, but here's a short version (with meaningless 1-character variable names, no less!);negative
tA224;Here's a Perl solution Here's a Ruby solution Here's a Ruby one-liner solution: What the one-liner is doing is using a regular expression substitution of the first character of each word with the uppercase version of it.;neutral
sC408;Excellent job including the Fiddle! I still can't quite understand the question though. Could you include the output?;positive
sA196;No, n % 7 + 1 actually returns n + 1 unless n == 7 in which case it returns 1.;neutral
sD56;Why don't you just run multiple instances, one per document?;neutral
sB534;Hi Barney, I think @EdMorton 's answer is pretty pretty more powerful than my comment!;positive
tD400;I'm looking for experiences with deploying Crystal reports (the basic version, bundled with VS2008) into a production environment. Are there any restrictions? Does it limit the number of concurrent users? Other than downloading and installing the CRRedist2008_x86.msi on the production server, anything to worry about? (And judging from the comments here and other places, yes it would be better to find another solution, but unless there's something free that works with VS2008/IIS6, we're stuck with it for now).;neutral
sB318;What does ABC in WCF stand for?;neutral
tA150;is the most comprehensive I've found, but it suffers from much the same problem you noted in Control Panel. Maybe you can help by updating it with any information you've found independently?;neutral
tA183;Ah, finally I can solve this annoying problem!;positive
sD121;I solved this. That filter in web.xml must be first filter in file.;neutral
sA404;EDIT: Also you should avoid using it can make debugging extremely frustrating.;negative
sC282;Try this: The lets it run over any file (incredibly dangerous!) but the revision specifier limits it to the specific files included in that changelist.;neutral
sC197;My solution for at indexes and of any string would be: If this evaluates to True it means that the character at index x is enclosed by a set of parentheses. You can test for the index y respectively Hope that helped, Cheers! Alex;positive
sC149;Oh, how I hate iframes!!!;negative
tB440;This only works for 4 or 8 byte floats. What about 10-byte floats?;neutral
sA255;Welcome :) :) :);positive
tB428;Thanks Nat. The external data is large (external search results) so it's not possible to keep it as a new list. We're a SharePoint plugin so I can't guarantee that the BDC will be available at all installations. I guess I'm kind of out of luck with your suggestions but I appreciate the answer!;positive
sA301;Ahw... that's plain sad :(;negative
sD447;Great :) thanks!;positive
tD27;Is it possible to configure nHibernate to connect to Paradox database (*.db files)?;neutral
sA565;I've heard rumours that Angry Birds can make you throw little birds on green pigs, and that you cannot do that in Visual Studio!;neutral
sC6;My client sells jewellery in different materials such as gold, silver, oxidised, etc. When using the Layered Nav widget I would like to display the thumbnails corresponding to the selected filter. So if the users selects the 'gold' attribute in the widget, the gold thumbnails should display in the archive. Using ACF I added image fields to the main product for thumbnails and modified the action in my functions.php. I am trying to write a function that will retrieve the right thumbnail for the currently viewed filter but I cant find a way to check the active attribute for the page. I think it may be possible to use a query_var variable, but my knowledge is too limited. Any help will be hugely appreciated!;positive
tB40;The 1024 byte limit is part of the syslog (section 4.1), as is UDP transport which doesn't have guaranteed delivery (in case you worry about log lines lost in the ether). I think syslog-ng can solve both these issues, but I'm not a syslog expert.;negative
tC49;@Brian: You will probably agree that a) it is not a real question as far as grammar is concerned, and b) that this sentence is a totally buried in the text. You simply might get better answers if you make this a real question. Especially the first paragraph seems completely superfluous.;neutral
tA431;I have a screen with say 20 controls on it. I want to show all twenty, then hide only the ones that don't relate to what I'm working on. My problem is that between the loops the screen paints. It looks very ugly. I know I've seen this done but for the life of me I can't find that code, or even remember what app I'd seen that code in.. Does anyone know how to suspend the paint for a bit?;negative
tD91;I would like to intercept the event in a .NET Windows Forms TabControl when the user has changed tab by double-clicking the tab (instead of just single-clicking it). Do you have any idea of how I can do that?;neutral
tB7;I'm afraid I can't entirely follow your question - do you want to have a sign up form for membership or email notifications shown as an article? If so, then the easiest way is to install 'm2c' - the 'module to component' component. Then you can put any module (ie the sign up box) in the centre content area. The m2c component can be found here:;negative
tC220;Awesome -- this approach will work! Thanks! BTW -- I've followed your blog for quite some time! Thanks!;positive
sB144;Inside Inside Any work arounds?;neutral
sC109;@Bakuriu, thanks for your answer! :) That `class MainWindow(QMainWindow, Ui_MainWindow)` was surprising but excellent!;positive
pD73;Ah man, my changes did not save. JSFiddle was lagging terribly for me so I'm not suprised -- sorry!;negative
sC148;I created public and private key with cygwins ssh and pasted the public key into bitbucket account. says the ssh connection works fine! (so it should work!!!) Then I post into mercurial.ini in TortoiseHg And I post Into the hgrc file. But then when I want to push TortoiseHg says to me: Seems to me something is missing here but what exactly? Edit: I don't want to used TortoisePlink because it is SUPER SUPER SUPER SLOW! And https just cancels the connection after uploading several megabytes.;negative
tC437;We are currently using PDE to automatically build features and our complete product. It works quite well. Make sure you use the right script for product build or feature build. EDIT: We've now migrated to , which has an excellent command line interface.;positive
tD11;I tend to have just 1 file, but don't upload the web.config when I update the site - maybe this is bad practice, but I think its what Microsoft intend you to do. Can be a bit of a pain though if you (or a new team member) accidentlly upload it...;negative
sB223;This one does not: Why is that?;negative
sD573;I realise this is probably an absolutely horrible way to do a query, and of course its not working. The point of it is to select users based on a date range and a keyword.;negative
sA572;You DO need to modify web.xml whenever it's needed. Especially with JAX-RS, you will have to define your servlet in web.xml. I recommand you to use Maven. There are plenty of exemple in the web to do so. Good luck, JAX-RS is really great ! Maven is also nice.;positive
tA106;You didn't mention the language, but for Java we've loved . For C/C++, getopt.;positive
tB405;"I'd say spike should be part of the iteration plan. not just in time. They should be accounted for the story they belong to. Even reading of parts of the manual should be estimated. And now for the hard part: don't be afraid to give high estimates. Realistic is ALWAYS better than too low. ;)";positive
sC117;We added this snippet to LocalSettings.php, with great success: Thanks!;positive
tC85;See related discussion at;neutral
sB246;IronPyton is your thingy dawg;neutral
tC421;See http://trac.openidenabled.com/trac/ticket/376.;neutral
tC236;Hate to say it, but I don't think there is a way to alleviate this. I do think that it depends on the client system, though, so a faster javascript engine or machine may make it slightly more accurate.;negative
tD38;the 'id' field of my table auto increases when I insert a row, I want to insert a row and then get that ID. I would do it just as I said it but I'm wondering if there's a way I can do it without worrying about the time between inserting the row and getting the id. I know I can query the database for the row that matches the information that was entered, but there is a high change there will be duplicates, with the only difference being the id.;neutral
sC292;This will disable your submit button for 5 seconds: You would also want to make sure, that the malicious user doesn't submit the form by other means! Make sure to run server-side validation:;neutral
sC484;I'm having the same issue, did you find a fix?;neutral
sD291;I'm reading an excellent article by Paul White - ! and he uses this code: I'm trying to find out more about using dbo.Name to declare a variable, not having much luck with books online. Any ideas where I can find this? Thanks;positive
sC588;XCode 5.0 Console Not Showing After Exiting App and Reopening. I put a simple NSLog in the next screen that I push to and there is no logging of it in my console. This makes it a pain to debug! I segue from one screen to a tabbar controller, if that helps? Has anyone encountered this issue?;negative
tD440;One of the first cool demos in the 1.0 era was page turn photo book. The idea caught a bit of traction and Jeff Prosise wrote up a framework for it What I'm looking for is an update to 3.0 (or at least 2.0) While I appreciate Prosise effort, I'm not that thrilled about all the Javascript required to drive the application. Any pointers? This is primarily for a learning exercise, so canned controls are of limited interest.;neutral
tA412;There is nothing mentioned in http://help.adobe.com/en_US/FlashPlatform/reference/actionscript/3/flash/desktop/NativeApplication.html;neutral
sB109;You never compile an .h file by itself, I think.;neutral
sC578;I would be extremely shocked if this was possible.;negative
sC101;excellent, thank you!;positive
sA408;I would really love if someone could tell me how to tell whether 2 objects have touched (An image or a button) I know how to make them draggable but not how to tell if they have touched and to do something when they touch! Thanks!;positive
sA213;I see the outcome: A's do work whats the things you are expecting ?;neutral
tB280;On Visual Studio 2005 C++ compiler, I get the following warning when my code uses the fopen and such calls. How do I prevent this?;neutral
sC261;Short and to the point... excellent! +1;positive
tC114;I really enjoy programming in Mathematica, and hence was looking for solutions in it.;positive
tB265;I am writing an application which uses the Microsoft.Office.Interop.Excel assembly to export/import data from Excel spreadsheets. Everything was going fine (except for 1 based indexing and all those optional parameters!), until I tried to use conditional formatting. When I call Range.FormatConditions.Add I get a MissingMethodException telling me that no such method exists. This happens in both Vista and XP. Here's an example of the code that generates the exception:;negative
tB316;Wow - why would someone vote to close? This is a great debate!!;positive
sD339;Links are no longer valid fyi;neutral
tC69;"There's a sample at the always excellent ""Cocoa With Love"" site:";positive
tC302;can you help? i have a DB, the unique identifiers are GUIDS - we need to implement URL rewriting however the page names look terrible for example: testpage-2668FF87-0A3A-4cac-B9AB-2367D17A76C3.aspx title of page / unique identifier my DB's that i setup i use Ints as unique identifiers so i never had this problem: testpage-1.aspx title of page / unique identifier (int) what do you suggest ?;negative
sD114;They sure didn't @MichaelSzyndel . It's extremely frustrating. I am using the latest ver, too. I really would like to get it working properly.;negative
tC240;While this is excellent advice, as other answers state, there is a more nuanced answer in the case of an immutable, safely published map instance. But you should do that only if You Know What You're Doing.;neutral
pA57;"Here is my PHP code.. ..I'm extremely crappy with my JavaScript code, could someone help me convert this? I basically want to convert a variable such as ""marine-heavy"" to ""Marine (heavy)"".";negative
pD48;Why am i using over 80% CPU when just hovering some links? As you can see in the video i uploaded: the CPU goes to >80% CPU when i move my mouse over the links. My style for the items are as follows Why?;negative
sB313;One example is if you provide a custom in . Obviously calling wrong will likely produce devastating results.;neutral
sC592;Probably the date format does not match the string and `dateFromString` is `nil`. - Single-stepping in the debugger (and inspecting the variables) can be extremely helpful!;neutral
tC454;This is officially the first time I have seen it referred to as Red Gate's Reflector as opposed to Lutz Roeders Reflector. Sort of sad in a way;negative
tA135;Excellent. Thanks.;positive
sA534;"I am completely hopeless with regular expressions... I have a Velocimacro named , and I have a JS function named . Now I want to find all the places the JS function is called. So I need to search for ""addButton"", where ""addButton"" doesn't start with the hash key. Any ideas?";negative
sB420;No, and I would be very afraid if there was.;negative
sB426;This is probably what you were looking for: It's an uber awesome, extremely useful app to track your overall app downloads & sales!;positive
sD316;I'm currently working on a responsive multi-level menu which currently shows every level of the hierarchy instead of only the first, which is what I want to achieve. I've created a fiddle, which can be found here: Here's the relevant Code: CSS: And also my JS: If someone could lead me in the right direction, I'd be really greatful! Thanks!;positive
sC112;I have a few months of experience with Ruby on Rails and really loved it from the beginning on. Now, for work, I was asked to code in Grails and although I first had some objections, I now think it's a very decent framework. One thing that really impressed me in Grails are Taglibs because they make frontend modularity so much easier. I would really like to do something with Rails. Is there anything like Taglibs for Rails? If not, what are the best practices for accomplishing this kind of view modularity (and, in essence, making my life easier)?;positive
sC143;When we have a cluster of machines behind a load balancer (lb), generally hardware load balancer have persistent connections, Now when we need to deploy some update on all machines (rolling update), the way to do is by bringing one machine Out of rotation, looks for no request sent to that server via lb. When the app reached no request state then update manually. With 70-80 servers in picture this becomes very painful. Can someone have a better way of doing it.;neutral
sB206;Doubles aren't compared that way in real life...;negative
sA441;It can't be closed, but you can remove the OK button by specifying a function as the 3rd parameter: But seriously think about this, because spawning unclosable dialog boxes won't exactly make people overjoyed about your site.;neutral
tA394;Excellent summary of subject on StackExchange security blog: http://security.blogoverflow.com/2011/11/why-passwords-should-be-hashed/;positive
tA171;Any progress on this one? To embed complex functionality (including history-aware interactivity) on an MVC page without involving the rest of the page is a reasonable and common desire. The only alternative I see, to require the using page to track each components query-string state, is horrible.;negative
sC64;@interjay you are right. Corrected the post above.;neutral
sB375;To get it to work in Internet Explorer I had to use following code:;neutral
tB172;I see that over on this question there is a request to say how to do something using LINQ to see if a property matches in a collection. However, is this the fastest reasonable process by which to do this? I will be deploying something that requires a certain amount of resource management, and I want the application to be as responsive as can be, without making the code terribly hard to decipher when someone else, or myself come back to it later.;negative
sB496;I ran this code in Eclipse.. it is running absolutely fine!! The output is : Thu May 16 09:35:31 ICT 2013 I am using Java jre7;positive
tA458;http://stackoverflow.com/questions/3167909/what-motivates-you-to-document-not-document-your-code;neutral
sD325;Excellent! Thank you for the follow-up. I added a variation above.;positive
sB570;Yeah, I thought the same thing when I was writing the answer.;neutral
tB60;What are some effective strategies for preventing the use of my proprietary images? I'm talking about saving them, direct linking to them etc... Presently I have a watermark on the image, but I'd rather not. .NET platform preferred, but if there's a strategy that's on another platform that integrates with my existing application that'd be a bonus.;neutral
sC108;I also fail to get webgl to work on mac osx. Really frustrating! osx 10.9 mac book pro;negative
sD73;Try replacing... with.. Best of luck, hope that helps!;positive
tD253;I'm not sure that link works anymore.;neutral
sC503;Or PySide by the very same company of QT.;neutral
tA6;Any Updates to this annoying topic?!;negative
tA48;I'm afraid I don't know any answer other than to start looking around in your area for old hardware. The CPU isn't the only variable that can (usually) affect things. L1/L2 cache size, memory bus speed, memory speed/latency, hard drive speed, etc. are all significant factors in many applications.;neutral
tA38;I am pretty sure this can help! Cheers!;positive
tD232;"When I do: It searches the entire system. How do I prevent that? (This question comes from an """" to another question.)";neutral
sA484;Afraid not, no!;negative
sB239;Excellent question! There doesn't appear to be a control in Eclipse to do it, but these two blog entries: both say it can be done in the windows registry. Caveat: I have not tried this.;positive
tB147;i really love the jquery validation plugins, look neat stylish and accessible, but as you know JavaScript can be turned off and boom your user can enter what ever he wants, therefore you should validate on server too, so what is the best approach here ? do double validation one with jquery and one on server side or is there a better solid secure way ?;positive
tB261;Linked lists have operations which a FIFO queue does not (enumerate the list, remove items from the middle, etc). So personally, I'd fear that if a list is used as a queue without encapsulation, then in future some fool (probably me) will fail to observe the FIFO constraint.;negative
sA72;Maybe you can post the relevant code snippet? Regards, tamberg;neutral
sB304;if this question is fit for SO, then this is the only correct answer..;neutral
pD49;I just wrote this function, so there are no versions to speak of... I'm afraid I'm not very faimiliar with mapping!;negative
sA500;I try make authentication using But I get . How I should correct my code?;neutral
sB222;I found the answer! It appears to be an issue with sending to the development device tokens. Like most people, we have a database that stores the device tokens, and the earlier records were populated with our device tokens from testing. As soon as I net out those device tokens from my list, all works! I really hope someone finds this useful!;positive
sD583;Which initialize() method are you referring to? Which class?;neutral
pD27;I just use following code right now. The table is MyISAM 90MB. terms has FULLTEXT INDEX and it is varchar(255). There are 1,000,000 rows on the table. I wonder if there is any solution which is more resource usage friendly than fulltext search on MySQL? Especially in terms of memory. By saying solution, I refer to any solution such as other types of databases, table structures etc. and if the solution would be adaptable to a standart VPS or hosting in general, it would be extremely super duper perfect! Thanks for your time!;positive
tB101;You should give a try. I haven't tested it but they mention that is works with Silverlight OOB apps and even give you a tutorial . It's commercial software, but a 30 day trial is available.;positive
tC212;I've been using for a little while now, but there's one glaring piece of functionality that is either missing or I just can't figure out (I hope the latter!). If you pass cfg.getTemplate() an absolute path, it just doesn't work. I know you can specify a template directory, but I can't afford to do that, my use case could deal with files in any directory. Is there any way to set FreeMarker to render absolute paths the way any user would expect?;neutral
tB383;+1: I just used implemented this, it works great!;positive
tA397;That's horrible.;negative
tD372;You should be able to add the attribute during OnPreRender(). INamingContainer is so painful sometimes...;negative
pC72;very kind :) Paul S. approach is a good one as it acts like a polyfill.;positive
sC543;You already have a great answer, but I wanted to give you a resource so you don't actually have to install IE8. You can use this site to test IE6-9, FF2-4, Chrome 5-6, Safari 3-5, and Opera 9-10. It's a really excellent tool!;positive
tB362;I'm trying to get multiple rails apps hosted under the same domain, but different directories. My configuration before attempting to host multiple apps (which works great), looks like this: I google'd around and found documentation suggesting I use the following configuration: That configuration, however, only causes my directory structure to be revealed, and no app appears to run. Any advice would be great!;positive
tB84;I have a generator and I would like to know if I can use it without having to worry about StopIteration , and I would like to use it without the . I would like to use it with a while statement for example ( or other constructs ). How could I do that ?;neutral
tB270;"not for my company, so I don't have to worry ;-)";positive
sC531;Follow the answer and the link in it.;neutral
sD351;excellent bonus tip re lcd! I didn't know that existed, but will be very useful.;positive
sC230;it is being deprecated because it is old and unsafe. switch now or feel the pain later!;negative
tA254;@Jason: what's so horrible with using ajax and query string to update parts of a page?;neutral
sD234;The above solution works, but not for the latest version of Gradle.;neutral
sB543;No worries, I have definitely done that before while copying a url from jsfiddle!;positive
tA82;[Building Tcl/Tk with Mingw](http://wiki.tcl.tk/14828);neutral
tC29;I want to copy a file from A to B in C#. How do I do that?;neutral
