id;rating;benefits;side_effects
600;1;NONE AT ALL;See below
227;8;Taking Wellbutrin has reduced my depression 8 fold. I was better able to cope with every day decisions, events that stressed me with out crying or having angry episodes. My moods have become stabilized since about a month after the start of taking this medicine.;I tried two other medications prior to using Wellbutrin and was quite pleased! I had mild dry mouth for about a month and actually lost the weight i gained from prior meds and a bit more. I still have shaking hands but it is not any worse than a cup of coffee. I have found that my tolerance to alcohol has increased, and lately my lower back has been hurting in the area of my kidneys, but i also have lower back spasms so i could be projecting worry that the combination of Wellbutrin and wine are doing major damage to my liver and kidneys!
3710;8;good considering dosage. taken many different anti-epileptic drugs over the last 14yrs(accident) lamictal 100% better regarding physical problems (constant headaches etc). mental side-effects difficult to say considering age! december 2006, after 14yrs with no physical epileptic incidents, just regular encephalegrams, i decided to stop topiramate which gave headaches. 6 mths later lost consciousnes, back onto drugs. first, keppra, which i liked. felt no side effects, just felt total relaxation and no epileptic problems. specialist didn't like this total relaxation, changed to lamictal. didn't like it at all at first,many side effectsme before arriving at 125 mg had a series of losing consciousness(never convulsions). now i can say that my mental and physical states have adapted to this lamictal. certainly no constant headache.;loss of balance & memory loss, memory is improving little by little. loss of balance still, but maybe change with therapy. difficulty speaking (living in france 18 yrs.) speak as much in french as english. dry mouth nervousness, anxiety heartburn and am considered bi-polar but i think that is being exaggerated by the medical profession,
2391;10;"Increased energy; I happened to be without the drug for one week, and felt absolutely terrible - like I was completely knocked down.";no side effects that i can remember.
322;1;I was a post cardiac ablation patient with breathing difficulty from reactive airway disease (RADS) and a fast heart rate. Docs prescribed Ativan 1 mg per day to ease breathing. It did help ease feelings of suffocation.;Tried to stop taking 1 mg of Ativan per day after 10 days and had horrible withdrawal symptoms including blurred vision, shakiness, weakness, heightened sense of smell, nausea. Sick as a dog. Had to go to a rehab specialist to get weaned off.
1929;5;The treatment benfits were to heal bacteria from surgery. I was told to take the pills immediately starting the day after surgery.;side effects were diahrrea, stomach pain and nausea
2421;10;increased energy, depression gone;none
3423;6;less noticable fine lines and blotchiness. skin appeared clearer and smoother. in addition skin appeared plumper. The brown spots would be less noticable as long as I was using the cream consistantly.;dry peeling skin, redness. once you stopped using it the blotchiness returned and brown spots returned. I needed to wear alot of sunscreen on my hand after using it on that area because it rendered those areas vulnerable to sun exposure. also while driving I had to wear gloves which blocked sun rays to my hands.
1001;10;weight loss, increased energy, better outlook on life, decreased anxiety, no longer have panic attacks, no longer feel depressed and in general feel happy and more content with life. My energy level has sky rocketed and my ability to be mentally focused is much better. My TSH went from 6.29 to .6. My T3 and T4 uptake are within the normal ranges.;I did not have any treatment side effects.
1422;8;I have always tried to lose 20-30 pounds and had no luck. A friend of mine used Adipex (Phentermine) and lost 40 pounds in 4 months so I had to try it. I started taking it last October 08 and by Christmas I had to buy all new pants because my other ones were WAY too big. Total I lost 25 pounds and am now 130. I just started taking it again after being off of it for 3 months because I didnt want to get too addicted which I know you can from this drug, and you also build up an immunity to it, which I also did. Overall though, it definitely works to loose weight, my sister-in-law, my best friend, and my sister all took it and my sister lost the least so far(only been on it for 1 month) with 15 pounds.;Bad trouble sleeping. WIll fall asleep after a little trouble, but cannot stay asleep, wake up several times a night unable to get good rest. Have to take sleep aide with this drug or wont sleep at all! Also have bad to mild headache for first week or so, goes away after a while. Mood swings are absolutely noticable, ups and downs. I NEVER noticed where my appetite was decreased at all, actually makes my stomache growl about 1/2 hour after taking it, nor did I have any extra energy ever, although somehow I DID lose weight on this pill.
3428;6;I noticed a significant improvement in my acne.;I had painfully dry, irritated, and red skin for several months, as well as higher susceptibility to sunburn and visibly peeling, flaky skin... those first few months were the worst period of treatment. After a while, however, all the symptoms except for the peeling skin and sun sensitivity diminished.
2535;10;Although it is essential to take the medication for the full 90 days, after one week I noticed that the skin on my affected foot was looking much better. I had years of tough, thick, dry, flaky skin on my heel and pads under my toes. As each week passed, this condition continued to improve. Almost from day one I did not experience any itchy toes or feet. At the end of the 90 days, I could see healthy nails growing up from the cuticle, although it will take several more months for the entire toe-nail on each affected toe to grow long enough that I can cut away the damaged nail.;The first few days (maybe three)of taking the drug I was a bit headachy and then experienced some mild stomach upset. After that, I was fine with no further issues. A positive side effect was that after the treatment was over I noticed that the skin on my legs was very smooth. Previously I had rough, scaly skin which I just thought was dry skin, though I could never rid myself of it. But I guess it was part of the whole problem because now the skin is beautiful.
3662;8;Improved mood after trying several other SSRI's. Had tried Prozac and Wellbutrin and got no effect from them. I was able to function better. I was not ecstatic, but was functional and less prone to negative thinking.;a bit of feeling dull or neutral.
3644;9;"Cleared up my acne and brightened my skin overall; slightly reduced fine lines. Aside from acne, it seemed to help my skin in general. This is by far the best acne treatment I've used. Now I use it for overall skin appearance (not just for acne).";"Thinning of skin leaves more sun sensitivity. Also, it cleared my acne, but didn't seem to ""treat"" it - if I stop using it, my acne comes back within a few weeks."
921;8;I have been on Paxil or generics for 9 years after a life-time of panic attacks. My attacks subsided immediately and though they recur every so often the relief has been a godsend. Even as a highly-productive and involved person it has been a lifetime of quiet fear that at any moment I would have these horrific feelings of losing my self and being depersonalized out of my body. As a few others have noted, the most common location for instant attacks is while driving. Paxil has calmed much of my life-long anxiety. I am a calmer and more socially comfortable person.;Lots of side effects, none of them deal breakers. It took months to achieve orgasm - it was like having a dead weight between my legs. Having reduced treatment to 10mgs a few years ago that has improved. As many others report, wild dreams and less deep sleep is now the norm but I have long grown accustomed to it. Miss a dose and you get those weird 'electric' buzz shocls in your brain - a tad alarming but not horrible. Weight increase of about 10 pounds - very difficult to get rid of.
4069;7;It seemed to help with the joint inflamation. Some swelling of ankles was reduced and I didn't seem as achey. I tried several sample medications first like celebrex but I liked the Mobic best. I have not gone off of it since I started to really know if it makes a difference.;none
3230;9;Prevention of pregnancy. I used to insert in my vagina the nuvaring and I had my period just in time. I always knew what day my period was coming.;Headaches..cramping..nausea...dizzines
583;10;Immediately ameliorated symptoms and extremely efficacious when used prophylactically;Occasional mild gastrointestinal irritation when using a high dose (4000 mg)
226;10;Marked adjustment in level of depression within one month. Continued benefits through following years of usage.;No side effects were experienced.
4093;8;It works great, no asthma symptoms.;But I'm loosing a lot of hair, there's mild pain in my lungs and legs on a regular basis and mouth infections.
17;5;Improved exercise tolerance. Stopped coughing up blood. Improvement in chest pain.;Nausea, bad dreams, very prone to sunburn. For the antibiotic to be effective I need to take a relatively large dose for my size (50kgs). Have to take anti-nausea medication while on the course of antibiotic otherwise tend to lose weight.
3069;7;"Drug did take away pain quickly; easy to take, not contraindicative with muscle relaxers or codeine allergy.";"No pain but very loopy.. Drug made patient incoherent and confused; bad memory and constipation patient had crazy ideas."
636;1;4 periods a year;The first week that I took this pill, I felt like I had the flu. I had to take a sick day off from work because I felt so sick: headache, constantly feeling hot and cold, extreme tiredness. I also started breaking out a lot and my skin started to be so dry. My husband also has said that I've had some mood swings as well.
2002;3;I took vicodin for pain in my wrist but i had to stop because it would give me a headache everytime i took it. So i can't really say there were any benefits to it, because eventough it helped with the wrist pain, the headaches were worse.;see above
1747;9;With the Topamax alone, and not myself consciously changing any of my dietary habits or exercising, I lost about 10% of my body weight in the first two months of treatment. It was like a tiny switch in my brain was flipped and I just didn't crave gargantuan massive quantities of horrible-for-you food. Not that food didn't taste good, or I wasn't hungry, I just filled up really quickly, and nothing seemed any more appealing than anything else. So when you're not just going off whatever looks yummy at that exact second and you actually stop and think about what you're about to eat, you tend to choose something a tad bit healthier and less caloric. Combine that with the fact that it would take about half the amount to fill me up, and there you have your weight loss.;Dry mouth (I was also taking Prozac at the time which definitely contributed), mild transient tingling in the hands and feet (pins and needles), I've read a lot of posts in forums online from people suffering memory problems with Topamax (i.e. dopamax), they forget words easily, have trouble spelling, feel foggy, etc... I guess I'm one of the few fortunate people whom Topamax doesn't effect that way. Either that, or the dose I'm at (200 mg) is well below my tolerance threshold. Many of the people in these forums were being treated for epilepsy and debilitating migraines and taking doses up to 1200mg.
1122;10;normal thrombosin level within 6 weeks;none
182;4;This medication helped me marginally to focus better and was somewhat more energetic.;I did not had much side effects, had some dry mouth at times but was manageable.
418;7;no headaches and better quality of life great at treating headaches;nervous system overhaul, dry mouth, stiff neck
3790;10;My pain in my head was gone after 5 days of taking this medicine. I feel so much better right now. I would recommend this medicine other than Amoxicillin, or any other antibiotic.;I had no side effects. I feel so much better. But I will say that I still am getting sinus headaches. I dont think those will ever go away though.
3704;9;heartburn was usually decreased significately if not totally;none
574;5;I felt a bit calmer and had a little less mania, but it did not help much.;upset stomach, low appetite, metallic taste, tremor
229;10;It lifted my depression without any noticeable side effects which I had experienced with every other anti-depressant I had taken.;None.
1249;2;It was supposed to stop the hot flashes that were keeping me awake at night.;Left me extremely sleepy the next day to the point I had to lay down an hour after I got up and I noticed no real difference in the hot flashes.
4022;10;i had become unable to drive any further than 1/2 mile to my job and no further without suffering serious anxiety attacks. after a little over a week on the medication, i was able to drive in heavy traffic, and basically anywhere i needed to go. my life has become my own again;none
536;10;It helped me sleep, which at the time was miraculous.;Bad taste in mouth but the sleep was worth it.
3177;9;effective for falling and staying asleep;slight dry mouth initially, but this subsided with use (3 - 4 weeks)
3711;7;Lamictal balanced moods without making me sluggish or slowing me down. I still have the highs and but they aren't drastically manically high.;Although it says it doesn't affect weight I did experience weight gain. It also makes me a little drowsy.
2871;7;The benefits of using Tretinoin were great. First of all I noticed that my skin started glowing and my acne diminished greatly. But I had to be very patient because the results were not immediate. Continued use of the medicine rendered amazing results. My skin is a lot more smoother, healthier, and brighter.;luckily I did not notice any negative side effects. The positive effects that I noticed out weighed the negative ones. The side effects that i noticed were very slight peeling of the skin and a very very slight burning sensation. The burning sensation however, completely went away with continued use of the medicine. I believe this is so because my skin became more and more tolerant the more I used it.
1824;5;Birth control, more mild and regular menstruation;Fatigue (severe during the first week of the month), nausea, mild depression
1134;7;The benefits was getting off of drugs. I go to a methadone clinic and i PAY $13 a day and i have for the last seven years. It helped me get off of Oxycotin's, but i would NOT recommend staying on it for long.. Because methadone is more addictive than pain pills.;"passing out; falling asleep drowsiness, weight gain when i first started i had alot of nausea, but after a few months it was better."
276;3;I ahve three sleep disorders: sleep apnea due to closing up of my throat (anatomical), restless leg syndrome and the worst one, hypersomnia -- tired much of the time with no explanation. I tried this drug - sent directly to the home and only with approved diagnosis (I am just short of narcolepsy) - to see if I would feel rested when I awoke. I did for one day but then the effects did not continue with each successive night. Sounds strange, I know, but that is what happened.;I did not have any side effects except that if I got less than 4 1/2 hours of sleep after waking to take the second dose - I would stillfeel the effects -- as if drugged a bit.
1739;7;Migraines diminished and appetite diminished, resulting in lost weight.;Initially began with 25 mg and increased in 25 mg increments until reaching 175 mg daily. Difficulty in concentration, moodiness became the norm, stress. Loss of weight which most likely caused the diagnosed potassium deficiency, which resulted in an irregular heat beat, resulting in stress symptoms, which resulted in stress test. Very difficult first six months.
242;8;Wellbutrin XL was the only anti-depressant I tried that I could take without noticable side effects. A big contributer to my depression was weight gain that accompanied it, and as a result my doctor prescribed wellbutrin because typically the patient either stays the same or loses weight will taking it, as opposed to almost every other anti-depressent which can cause weight gain.;Very minimal side effects. Only noticable thing is that you can feel the pill wear off near bed time and that can cause a sudden spike in appetite.
1486;1;No treatment benefits;Confusion, memory loss,blurred vision,extreamly hot,chills,dizzy,shaking,out of body experience.
1294;5;The drug did lower the blood cholesterol effectively.;The side effects included nightmares, muscle weakness, dizziness. In addition there were emotional disturbances.
3199;1;Cleared upper respitory infection and strep throat;Yeast infection, hives, and overall skin sensitivity from clothing and certain foods, still unknown, trigger hives...simple things like wine, goldfish, lactaid milk, pancakes, eggs, bread, nuts, strawberries.
1079;8;ALSO HELPED WITH HOT FLASHES. IT ALLOWED FOR ME TO CARRY ON WITH NORMAL ACTIVITIES.;MILD JITTERS WHEN FIRST TAKING. IF SKIPPED WOULD CAUSE EXTREME HEAVINESS AND TIREDNESS
3942;10;Acid reflux ceased to exist when taking Prilosec.;I have had no side effects from Prilosec.
2499;10;Depression has cleared up quite miraculously.;Eating too much - no sense of when to stop. Slight antihistamine feel.
4012;7;It helped greatly with depression but had immediate sexual side effects.;Sexual side effects - loss of desire also increased my restless leg syndrome.
2649;1;cancer is gone;flu like feelings, very tired, blurred vision,then started getting really dry skin all over my face, then started getting burns all down both arms. The dermatologist did a biopsy and the results weere I have Subacute Lupis Erythematosus whish is directly related to taking this drug aldaa. My lymph nodes were swollen. It was horrible and now I am left with this lifetime crap to deal with, can't go in the sun breakout of burns are always a threat. Am sooo sorry I ever took this drug.
3461;10;This drug has done wonders to help me get the much needed rest I have needed. Before I started taking this drug, I spent many nights not receiving the rest I needed. I have not experienced any negative side effects of this drug. It works quickly, within half an hour and I have been able to stay asleep throughout the night.;
2864;1;Takes about 3 months to show results, but cleared up my skin, reduced overall oiliness and enlarged pores, and eliminated my very greasy hair, caused by excess oil on my scalp. My skin looked hydrated, clarity was good and the improvement was constant with no variations after the first 3 months. Also contributed a significant improvement to my libido.;Periods about every 14 days. After 12 months of use, DCIS detected in my right breast. No history of breast cancer in the family at all, and I was in good health otherwise. Malignant tumour of the breast was one of the side effects I located on the internet.
3191;1;Due to extensive varicose veins, I was in pain, especially when standing. They were physically embarassing and I could not even wear sheer pantyhose. The surgery would eliminate pain and the ugliness. I was told to take the drug before surgery to minimize swelling and to minimize pain. I do not like to introduce drugs into my body unless an emergency so I did not take it before the surgery, instead opting for Bromelain enzyme, ginger and tumeric to reduce swelling.;The side effects after the surgery were swelling and pain and possibly infection at the incision sites. About 10 hours post surgery, the pain became unbearable, and I decided to take one dose of acetaminophen w/codeine #3. When I got up a couple of hours later to go and use the bathroom, I passed out in the bathroom. Lucky for me, my husband was nearby.
3860;4;I got up and felt better in the morning, then as the day went on I felt more and more lethargic so I dont know if I was taking the right amount or if it was the drug. I then took it twice a day but it did not seem to help my lethargy;bone aches
1520;10;I experienced weight loss, improved insulin sensitivity, increased energy and decreased carbohydrate cravings during the course of the day.;I did not experience any side effects from taking this medication. I did have an occasional problem with some abdominal pain but it was not significant and went away on its own.
1662;1;no positive benefits;mood changes, weight gain (4 pounds in 3 days!) extremely emotional. depression
1292;1;Taken only four days... not tested for benefits;Extreme pain in calf that soon extended to entire leg. Muscles were rigid. I still suffer leg pain after more than a year off the four doses of Zocor. Just visited Disneyword and did not realize till then how badly my legs hurt - day and night.
346;8;The benefits are that being on Neurontin with the Lidoderm Patch 5%, it has helped to give me a much better quality of life. My pain is significantly reduced because of these two medications, though not completely gone. The side effects, to my knowledge, have been minimal, especially compared to what it could be without these medications. Could a different medication work better? Maybe.;It's hard to say what the side effects might be. I sometimes have trouble thinking or speaking my thoughts concisely, moodiness, somewhat depressed, shortness of breath at times, dizziness, occasional vision problems, some numbness or odd sensations in legs or arms etc. However, I can't say for sure if any of these side effects/symptoms are from taking Neurontin, the lidoderm patch or for some other reason (stresses...).
560;3;In saw immediate improvement in the clearing of my acne within the first week.;Yeast infection by day 7 despite eating yogurt and taking Acidophilus along with Doryx as suggested when I was prescribed the medication. The side effects definitely outweigh the benefits in this case.
1530;10;It relaxed the spasm's in my back and neck, if not completely, at least by 50-70 percent. The best thing about this drug is that you can take it at work or during the day, and it does not make you drowsey or loopy.;I experienced no side effects, other then the expected outcome, which was releif of the muscle spasam.
4042;3;Avoidance of infection.;Full body hives appearing 8 days after treatment began.
480;1;none,pressure never came down to acceptable range and had wide swings throughout the day;pounding headache, nausea, dizziness while walking and arising from bed/chair, spots in eye, uncontrollable eye tearing. The latter two are still present after6 weeks on not taking meds.
257;8;Since I tried to avoid the GI effect of Motrin, or celebrex if used too long, the tramadol seemed a good alterntive. I took it in the morning, and it generally seemed to energize me enough so that I stayed active, and if it didn't relieve the pain, It seemed to keep me from thinking about it and I remained busy.;I did find that if I took it in the late afternoon, I really couldn't sleep at night, mymind raed and I felt unsettled. It reduced my appetite a bit, ad I would work without eating, or drinking. Had to remind myself to eat.
1266;1;Virtually nil. PLEASE< PLEASE read on....;"If you take a look at the side effects the FDA requires Provigil manufacturer Cephalon to list, you will find the usual stomach aches, headaches etc.. Such side effects are so common that virtually every new prescription medication ends up listing them, which is why most of us don't bother reading the side effect profile for meds. However, failing to look at the side effects for Provigil could end up costing you your life. Provigil of course does list the usual side effects, yes, but ther is one side effect listed that is rarely included as a medication side effect. Further, even if you should happen to actually read the list of Provigil's side you are not likely to know what it means. The side effect is called ""vasodilatation"", and the manufacturer reported to the FDA that it occurred to 1 out of every 50 test subjects while it happened to 0 out of every 50 who took the placebo. What is ""vasodilatation""? Vasodilatation, nearly always referred to as the more recognizable ""vasodilation"", refers to the general relaxation of blood vessels, a phenomenon that usually ends up causing a small drop in blood pressure but sometimes causes a significant blood pressure drop, when it is then called hypotension. And, if you'll read on, you'll see why for me, and potentially for 1 out of every 50 users of Provigil, it very nearly killed me. After 7 weeks on Provigil, with the last week having been increased from 200mg to 300mg per day, I awoke one morning in a highly delusional state, speaking of non-existent farm animals wandering around the kitchen table where my wife and I were seated. After apparently collapsing in my bedroom, I was taken to ER, which quickly determined that I was critically hypotensive (low blood pressure of 72/35). I quickly lapsed into cardiogenic shock, a condition where the heart all but stops pumping blood and one of the deadliest of all medical crises. Even among those who are still alive upon arrival at an ER, 70% to 80% die within hours or a few days. Those who survive likely do so, as I did, with kidneys in acute failure and brain damage similar to what is sustained by near-drowning victims who have been resuscitated by a lengthy CPR session."
535;9;Helps me to sleep although does NOT help RLS. I sleep through the night now with requip to still my legs and trazodone to help me sleep. It has made a HUGE difference. I went through a sleep study prior to taking these meds and it turned out I was not getting any sustained deep sleep.;At first I was terrible groggy, but I adjusted.
124;9;It drastically reduced breakouts all over my body therefore I did not constantly have flu like symptoms because of the breakouts. So even under stressful life events which usually results with a breakout the Valtrax stopped or reduced the frequency of breakouts. So far I have only been taking 1 per day and I have not had any breakouts for a month.;It initially made me feel tired and lethargic. I believe it contributed to a short bout of stomach upset and heavy bowel movements however this problem subsided fairly quickly. I think it also contributes to my eyes feeling dryer than usual. Since I am post menopausal dry eyes is a huge problem.
3190;2;The first five days I felt amazing and I have had great sleeps for the 16 days.;After the 5th day, I still slept well but my anxiety returned. My balance has been off, I am extremely tired all day, there is a bad taste in my mouth which alters the taste of food. My mouth is so dry that I drink non-stop and cough a lot. What made me decide to quit this drug before the month trial is the fact that I have this really bad memory loss. I forget where I live, my dog's name, my employees' names. I would look at a steak and not remember what it was called. I would stare blankly. My job is detail oriented and I could not concentrate.
3859;10;Less fatigue, less weight unaccountable weight gain, less hair fall-out.;
2428;1;The synthroid medication did, for most of the ten years while I took it, keep my thyroid levels where they were supposed to be.;After taking this synthroid medication for a period of about 10 years, here is what happened. We were on vacation in another state and all of a sudden I began to feel extremely horrible-- very weak, with a rapid heart beat. We were getting ready to get on an airplane and come home. So I thought if I can just get to my home town and get to a hospital, they can surely figure out what is wrong with me. We arrived at our home airport and then we went straight to the emergency room, where they ran several tests and I was there for several hours, but they could find nothing wrong with me. So they told me to go to my regular doctor the next day, which I did of course and he ran a blood test and found that it was the thyroid medication that was causing my problems.
2039;10;Within a few weeks of starting, my pressure was under control and has remained that way for over 5 years.;I had no side effects that I noticed.
2872;7;The benefits of using Tretinoin were great. First of all I noticed that my skin started glowing and my acne diminished greatly. But I had to be very patient because the results were not immediate. Continued use of the medicine rendered amazing results. My skin is a lot more smoother, healthier, and brighter.;luckily I did not notice any negative side effects. The positive effects that I noticed out weighed the negative ones. The side effects that i noticed were very slight peeling of the skin and a very very slight burning sensation. The burning sensation however, completely went away with continued use of the medicine. I believe this is so because my skin became more and more tolerant the more I used it.
2982;3;My ability to focus improved and I was overall calmer.;Severe depression and thoughts of death.
865;10;I have found Valium to be a godsend. It helps stave off migraine attacks, it helps me get to sleep when I have insomnia, and it relaxes the muscles in my back when I get spasms. I use it sparingly, only when I really need it, (about 2-3 times a week ) and I have not found it to be addictive at all. I actually find it to be relatively mild, and I think it's over-regulated.;I don't have any side effects from taking it.
1928;10;It cleared up my coughing within 2 days. I could sleep far better at night.;I had mild diarrhea, though I'm not sure if it was due to the drug.
688;1;REDUCED AMOUNT OF CYSTIC ACNE;BALDNESS, SENSITIVITY TO SUNLIGHT, NIGHT VISION BLURRINESS
1617;1;there were no treatment benifits that I could desern because I quit taking the drug because of the severe side effects;I had extreme weight gain, fluctuating emotions. I felt I was going insane so I stopped taking the drug.
1510;8;My blood pressure readings have improved.;There were no side effects. I have tolerated the drug very well.
1917;1;No benefit at all;I'm kinda glad to see I wasn't the only one who experienced this. I honestly felt I was going to end up in the hospital. Sweats, heavy nausea, dizziness, my whole body felt numb and shaking, extreme cramping. The next day, I felt I didn't have any muscles!! Weak and felt drunk! Aweful experience!
3605;6;I had some experience with Retin-A when I was a teenager in the mid 90's. My mom and I have the same type of skin - we both have some degree of acne as adults. In the 90's my Mom started using Retin-A to control this and apparently it worked well, so I tried it (her prescription) as a teenager and it just irritated my face , making it red and eventually flaky. The drug is certainly powerful. I am sure I would have benefited from continued use but I didn't. Now, approaching 30, I still have some acne and am starting to think any acne whatsoever is unacceptable. Reviewing options, Retin-A seems top on the list. I have read that retinol is a distant second. However, I am hesitant because of the inevitable initial irritation and flakyness associated with Retin-A.;see above
1334;8;stomach pains lesson over time it would take around 4/5 days to start working. was told by the doctor not to use the medication for years but for one to two months at a time.;starting up effects dizziness,nausea, but would subside when medication started getting into my system. Would also feel tired while taking it and would sometimes make you feel unwell but I only found this on the 30mg.
2762;4;depression lessened;headaches after 4 years, no control over breathing, the drug created inner emotions and feeling that weren't present before starting taking the medication, the bi-treatment of lithium and risperidone also created feeling of excessive sleepiness, created a weight gain of more than my normal size, colors of objects turn more bland and life seems more pointless when taking risperidone during the day. Taking the medication at bedtime turned out to be better. Smoke 2 packs a day after taking the medication at night and waking up the next day. Less able to control emotions.
490;10;Lost 30 lbs in first month of treatment. Portion size was easy to control. If busy I sometimes forgot to eat. Mood was slightly altered for the first week - I was more patient - but this was short term. This medication has changed my relationship with food and I feel in control.;Felt a little spacey and calm for first few days. Sleep was disrupted for about two weeks - waking hourly. Excess energy and restlessness for the first week.
2493;6;Boosted my mood a fair amount. My MD chose this med because I was having significant insomnia, and it definitely helped that, which was great.;But after I had caught up on my sleep, I felt very grogged out, even in the daytime. This was not acceptable, and I soon stopped the med.
2728;9;"I have had severe migraines for over 20 years. Since taking the amitriptyline my migraines have decreased to once or twice every six months! As long as I take the ""elavil"" and watch for triggers I am now in control of my migraines and not the other way around.";groggy in the morning, slight weight gain, dry mouth
3155;8;The treatment benefits of taking predisone for asthama were that it reduced the inflammation and eased breathing. Although steroids are being scrutinized in the media at this time, they do have a place in the treatment of life threatening episodes of asthma and other diseases that casue severe inflammation. I do not care to be on prednisone for any period of time, however, breathing is necessary to life and the prednisone offers a quick relief of the symptoms.;While taking the prednisone I had an increase in blood pressure. I also was very perspired while the dose was higher and felt extremely edgy and agitated.
3490;10;Normal blood pressure;Depletion of potassium, and heat and cold sensitivity (inability for body to regulate temp)
1440;9;Patient had tried Synthroid, and one other with Iodine which I cannot remember name of(came from pigs). I however did not ever feel any different or better from taking. Was looking to increse energy levels so tried Levothyroxine.;"Synthroid OK, no side effects, the other one(made from pig hormone), my OBGYN advised not to take, said was ""gross"" and recommended Levothyroxine; been on ever since."
1202;7;I felt less anxiety and fewer down moods.;none. I had hoped to have the side effect of weight loss but didn't. I didn't notice a reduction in libido as my husband did when he took Paxil.
92;1;I had no benefits;Nausea, dizziness, increased anxiety, and extreme irritibility.
2207;10;Ever since I was littel I would use albuterol at night about once a week when needed because my breathing was so bad. Ever since I've been on advair, I no longer need albuterol. My breathing is stronger according to doctors and I enjoy exercise without having breathing complications.;There are no negative side effects that I know of.
731;4;The product did lighten the skin, which was the desired results. The was some redness and skin warming, but those side effects were tolerable.;I had an allergic reaction when used with benzoyl peroxide. My pores became enlarged, and were plugged with blackheads. My research found that when used with benzoyl peroxide, staining and pore enlargement might be a side effect, which I did suffer.
1829;7;Effective birth control;Moodiness and weight loss
3340;9;I slept well while on clarithromycin, my fatigue decreased, my intellectual function improved, and my energy level increased.;metallic taste in mouth.
2712;9;Deeper/more restful sleep........overall feeling of wellbeing.......minimized hot flashes;none
3802;10;Cialis taken as prescribed. Had immediate postitive effect as promised, strong, long-lasting erection. Intercourse possible for long period of time- approx 2 days. Had no side-effects at all. Am very satisfied and recommend.;No side effects at all. No headache, gastro-intestinal disturbances or other.
2177;3;"My allergy symptoms got much better. But thats what one would expect. There is not much more to say, i am just filling the ""50 words"", so go on reading.";Very high blood pressure
839;9;I now have more energy, better focus, better weight control, less hypglycemia, feel more upbeat, less prone to depression. I can work more efficiently now, can get through my day without feeling like I need to lie down on the floor and sleep!;I notice that if I drink caffeinated beverages I get way too jittery, whereas I used to use coffee and diet caffeinated drinks to keep my energy level up and they wouldn't bother me by making me too hyper. So I have to stay away from those. Also, if I take a dose too late in the day, I stay up too late!
1626;10;benefits included stopping hot flashes,night sweats, hair loss, and it made my skin more supple and much less dry.;there were no bad side effects at all with this medication I have been thoroughly pleased with it, i did notice being a bit more thirsty but not really bad enough to speak of or lis as a side effect
2429;7;I have more energy and I feel better.;I feel more hungry than usual, but I try not to overeat. Slight weight gain.
3660;10;"Immediately felt like ""the cloud had lifted."" Anxiety essentially disappeared and life really did get easier. Removed the sense of ""running in concrete.""";At first, sleeping was intermittent and was full of bizarre dreams. This quickly passed.
2130;8;My son had a definite and rather dramatic increase in his ability to focus at school, complete his homework and we even saw a difference in his sports performance. He went from grades averaging C's, with some lower, to A & B's for most classes within just a couple of months. Even his teachers were very impressed with the difference, and my son's confidence improved tremendously.;The side effects have been very mild. At some points he seems more argumentative and high strung, but not most of the time. Generally this medication has been well tolerated. We do not administer the medication on the weekends or when he is not at school (during school breaks or during the summer).
2587;8;This drug helped me to be able to fall sleep during an extremely stressful period in my life when I simply could not fall asleep. I had tried many herbal sleep remedies, homeopathics, melatonin supplements, acupuncture and so forth, but the Serax was the only thing that helped me. Initially during treatment I would be able to sleep 4-6 hours which was a huge benefit to me as I was exhausted from insomnia and stress.;Sometimes I would feel a slight tension in my head the next morning, but this was better than total exhaustion from sleeplessness. More recently I find that on the rare occasions that I use Serax, I wake up with a headache if I take a full capsule. I find using a half a capsule seems to work fine without giving me a headache.
1918;1;none;i ended up in the er, i actually felt like i was dying, tremors to the point i could not walk, tingling in hands and feet, feeling of empending doom, qrs changes on ekg, pvc's on ekg,palpatations in chest. increased heart rate and blood pressure. i will never take this classification of drug again. i had pneumonia in the past and was on levaquin for weeks and had no reaction. i hope i never feel this way again.
154;7;The benefits of taking Zomig are suppression of migraine/headache pain for at least 12-24 hours. Sometimes the migraine would return after this time but usually it went away completely until the next attack.;The side effects of taking Zomig for me are inability to wake (if taken before sleeping) and extreme drowsiness/fogginess if taken while remaining awake.
3135;10;The benefits are numerous. With the Geodon I haven't suffered from a bout of depression in app. 2 1/2 yrs.. Before the Geodon I suffered from depression for months at a time. I haven't been or felt suicidal at all since beginning the drug. With Geodon I am on an even keel. By that I mean that I do not suffer from the peaks and valleys of typical bi-polar disorder. I no longer have manic episodes for days and then sink into a dark depression. It has made most of my bi-polar traits go away.;The side effects are: dry mouth, possible headache,
245;7;The best , BEST thing about Wellbutrin is that I have my sex drive back fully and I am realizing how much I missed it. That has been fantastic. I have noticed some appetite suppression too, which seems to sort of come and go, but it's definitely a welcome side effect. I have been able to get A LOT done at work, which is never a bad thing, but it's also unpredictable thus far. I also enjoy not having to deal with the nausea and overall sickness I would experience if I missed a dose of Zoloft.;I'm still sorting out the side effects. I keep having waves of anxiety and depression interspersed with days of feeling great. I have noticed I'm more quick to anger, which isn't really all that bad. Makes me realize I'm FEELING things fully. I have had some difficulty sleeping and loss of appetite, sometimes good, sometimes a little alarming.
